,Diagnosis,Drug,Age,Ethnicity,Gender,Count
29,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,ASIAN,M,2
30,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,BLACK,F,15
31,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,BLACK,M,4
32,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,HISPANIC OR LATINO,F,9
33,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,HISPANIC OR LATINO,M,6
34,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,OTHERS,F,39
35,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,OTHERS,M,53
36,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,WHITE,F,215
37,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,0.9% Sodium Chloride,85 years and older,WHITE,M,314
38,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,15 to 24 years,HISPANIC OR LATINO,F,6
39,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,35 to 44 years,BLACK,M,1
40,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,35 to 44 years,HISPANIC OR LATINO,F,2
41,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,35 to 44 years,WHITE,F,3
42,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,35 to 44 years,WHITE,M,27
43,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,45 to 54 years,OTHERS,F,4
44,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,45 to 54 years,OTHERS,M,12
45,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,45 to 54 years,WHITE,F,12
46,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,45 to 54 years,WHITE,M,8
47,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,55 to 64 years,BLACK,F,1
48,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,55 to 64 years,HISPANIC OR LATINO,M,9
49,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,55 to 64 years,OTHERS,F,17
50,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,55 to 64 years,OTHERS,M,3
51,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,55 to 64 years,WHITE,F,12
52,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,55 to 64 years,WHITE,M,45
53,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,ASIAN,F,1
54,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,ASIAN,M,2
55,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,HISPANIC OR LATINO,F,3
56,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,HISPANIC OR LATINO,M,5
57,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,OTHERS,F,5
58,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,OTHERS,M,8
59,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,WHITE,F,39
60,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,65 to 74 years,WHITE,M,41
61,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,75 to 84 years,BLACK,F,1
62,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,75 to 84 years,OTHERS,F,1
63,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,75 to 84 years,OTHERS,M,3
64,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,75 to 84 years,WHITE,F,19
65,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,75 to 84 years,WHITE,M,8
66,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,ASIAN,F,4
67,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,ASIAN,M,4
68,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,BLACK,F,24
69,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,BLACK,M,2
70,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,HISPANIC OR LATINO,F,7
71,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,HISPANIC OR LATINO,M,5
72,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,OTHERS,F,69
73,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,OTHERS,M,67
74,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,WHITE,F,249
75,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,5% Dextrose,85 years and older,WHITE,M,376
76,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,15 to 24 years,HISPANIC OR LATINO,F,3
77,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,15 to 24 years,WHITE,M,3
78,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,35 to 44 years,BLACK,M,3
79,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,35 to 44 years,HISPANIC OR LATINO,F,4
80,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,35 to 44 years,OTHERS,M,1
81,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,35 to 44 years,WHITE,F,4
82,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,35 to 44 years,WHITE,M,22
83,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,45 to 54 years,BLACK,M,3
84,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,45 to 54 years,OTHERS,F,3
85,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,45 to 54 years,OTHERS,M,11
86,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,45 to 54 years,WHITE,F,11
87,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,45 to 54 years,WHITE,M,19
88,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,55 to 64 years,BLACK,F,3
89,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,55 to 64 years,HISPANIC OR LATINO,M,3
90,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,55 to 64 years,OTHERS,F,11
91,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,55 to 64 years,OTHERS,M,4
92,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,55 to 64 years,WHITE,F,19
93,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,55 to 64 years,WHITE,M,56
94,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,ASIAN,F,2
95,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,ASIAN,M,2
96,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,HISPANIC OR LATINO,F,5
97,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,HISPANIC OR LATINO,M,3
98,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,OTHERS,F,3
99,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,OTHERS,M,16
100,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,WHITE,F,41
101,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,65 to 74 years,WHITE,M,47
102,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,75 to 84 years,BLACK,F,3
103,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,75 to 84 years,OTHERS,F,2
104,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,75 to 84 years,OTHERS,M,2
105,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,75 to 84 years,WHITE,F,29
106,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,75 to 84 years,WHITE,M,24
107,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,ASIAN,F,5
108,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,ASIAN,M,4
109,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,BLACK,F,11
110,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,BLACK,M,6
111,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,HISPANIC OR LATINO,F,9
112,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,HISPANIC OR LATINO,M,6
113,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,OTHERS,F,63
114,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,OTHERS,M,67
115,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,WHITE,F,300
116,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Acetaminophen,85 years and older,WHITE,M,377
117,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,15 to 24 years,HISPANIC OR LATINO,F,1
118,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,15 to 24 years,WHITE,M,2
119,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,35 to 44 years,BLACK,M,1
120,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,35 to 44 years,HISPANIC OR LATINO,F,2
121,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,35 to 44 years,WHITE,F,2
122,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,35 to 44 years,WHITE,M,9
123,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,45 to 54 years,BLACK,M,1
124,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,45 to 54 years,OTHERS,F,1
125,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,45 to 54 years,OTHERS,M,3
126,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,45 to 54 years,WHITE,F,6
127,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,45 to 54 years,WHITE,M,9
128,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,55 to 64 years,BLACK,F,1
129,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,55 to 64 years,HISPANIC OR LATINO,M,1
130,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,55 to 64 years,OTHERS,F,6
131,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,55 to 64 years,OTHERS,M,2
132,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,55 to 64 years,WHITE,F,11
133,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,55 to 64 years,WHITE,M,30
134,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,ASIAN,F,1
135,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,ASIAN,M,1
136,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,HISPANIC OR LATINO,F,2
137,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,HISPANIC OR LATINO,M,1
138,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,OTHERS,F,1
139,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,OTHERS,M,6
140,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,WHITE,F,21
141,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,65 to 74 years,WHITE,M,23
142,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,75 to 84 years,BLACK,F,1
143,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,75 to 84 years,OTHERS,F,1
144,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,75 to 84 years,OTHERS,M,1
145,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,75 to 84 years,WHITE,F,15
146,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,75 to 84 years,WHITE,M,10
147,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,ASIAN,F,2
148,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,ASIAN,M,2
149,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,BLACK,F,8
150,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,BLACK,M,3
151,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,HISPANIC OR LATINO,F,5
152,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,HISPANIC OR LATINO,M,4
153,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,OTHERS,F,30
154,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,OTHERS,M,27
155,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,WHITE,F,152
156,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,Bisacodyl,85 years and older,WHITE,M,189
157,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,15 to 24 years,WHITE,M,4
158,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,35 to 44 years,BLACK,M,1
159,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,35 to 44 years,HISPANIC OR LATINO,F,3
160,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,35 to 44 years,OTHERS,M,1
161,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,35 to 44 years,WHITE,F,9
162,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,35 to 44 years,WHITE,M,28
163,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,45 to 54 years,BLACK,M,1
164,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,45 to 54 years,OTHERS,M,11
165,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,45 to 54 years,WHITE,F,9
166,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,45 to 54 years,WHITE,M,24
167,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,55 to 64 years,BLACK,F,1
168,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,55 to 64 years,HISPANIC OR LATINO,M,3
169,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,55 to 64 years,OTHERS,F,11
170,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,55 to 64 years,OTHERS,M,2
171,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,55 to 64 years,WHITE,F,18
172,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,55 to 64 years,WHITE,M,36
173,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,65 to 74 years,ASIAN,F,1
174,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,65 to 74 years,HISPANIC OR LATINO,F,2
175,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,65 to 74 years,HISPANIC OR LATINO,M,4
176,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,65 to 74 years,OTHERS,F,1
177,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,65 to 74 years,OTHERS,M,16
178,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,65 to 74 years,WHITE,F,24
179,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,65 to 74 years,WHITE,M,30
180,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,75 to 84 years,BLACK,F,1
181,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,75 to 84 years,OTHERS,F,1
182,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,75 to 84 years,OTHERS,M,1
183,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,75 to 84 years,WHITE,F,19
184,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,75 to 84 years,WHITE,M,21
185,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,85 years and older,ASIAN,F,8
186,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,85 years and older,ASIAN,M,2
187,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,85 years and older,BLACK,F,7
188,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,D5W,85 years and older,BLACK,M,1
